"PFT_final","PFT_name","TaxaName","TaxaLevel","Species","Genus","Family","maximum_height"
2,"overstory","Palaquium sericeum","species","sericeum","Palaquium","Sapotaceae",16
2,"overstory","Palaquium walsurifolium","species","walsurifolium","Palaquium","Sapotaceae",22
2,"overstory","Payena","genus","NA","Payena","Sapotaceae",22
2,"overstory","Payena acuminata","species","acuminata","Payena","Sapotaceae",22
2,"overstory","Payena ferruginea","species","ferruginea","Payena","Sapotaceae",13
2,"overstory","Octomeles sumatrana","species","sumatrana","Octomeles","Tetramelaceae",27
3,"pioneer","Buchanania","genus","NA","Buchanania","Anacardiaceae",17
3,"pioneer","Buchanania sessifolia","species","sessifolia","Buchanania","Anacardiaceae",17
3,"pioneer","Cyathocalyx magnifructus","species","magnifructus","Cyathocalyx","Annonaceae",17
3,"pioneer","Meiogyne virgata","species","virgata","Meiogyne","Annonaceae",20
3,"pioneer","Trema","genus","NA","Trema","Cannabaceae",19
3,"pioneer","Trema tomentosum","species","tomentosum","Trema","Cannabaceae",19
3,"pioneer","Dipterocarpus applanatus","species","applanatus","Dipterocarpus","Dipterocarpaceae",20
3,"pioneer","Dryobalanops keithii","species","keithii","Dryobalanops","Dipterocarpaceae",20
3,"pioneer","Hopea","genus","NA","Hopea","Dipterocarpaceae",19
3,"pioneer","Hopea dryobalanoides","species","dryobalanoides","Hopea","Dipterocarpaceae",19
3,"pioneer","Hopea ferruginea","species","ferruginea","Hopea","Dipterocarpaceae",17
3,"pioneer","Vatica sarawakensis","species","sarawakensis","Vatica","Dipterocarpaceae",18
3,"pioneer","Endospermum","genus","NA","Endospermum","Euphorbiaceae",19
3,"pioneer","Endospermum diadenum","species","diadenum","Endospermum","Euphorbiaceae",19
3,"pioneer","Hancea subpeltata","species","subpeltata","Hancea","Euphorbiaceae",17
3,"pioneer","Homalanthus populneus","species","populneus","Homalanthus","Euphorbiaceae",20
3,"pioneer","Macaranga","genus","NA","Macaranga","Euphorbiaceae",26
3,"pioneer","Macaranga brevipetiolata","species","brevipetiolata","Macaranga","Euphorbiaceae",7
3,"pioneer","Macaranga conifera","species","conifera","Macaranga","Euphorbiaceae",21
3,"pioneer","Macaranga gigantea","species","gigantea","Macaranga","Euphorbiaceae",23
3,"pioneer","Macaranga hypoleuca","species","hypoleuca","Macaranga","Euphorbiaceae",24
3,"pioneer","Macaranga indistincta (species complex bancana_velutina_indistincta)","species","indistincta (species complex bancana_velutina_indistincta)","Macaranga","Euphorbiaceae",12
3,"pioneer","Macaranga motleyana","species","motleyana","Macaranga","Euphorbiaceae",9
3,"pioneer","Macaranga pearsonii","species","pearsonii","Macaranga","Euphorbiaceae",26
3,"pioneer","Macaranga winkleri","species","winkleri","Macaranga","Euphorbiaceae",15
3,"pioneer","Lithocarpus urceolaris","species","urceolaris","Lithocarpus","Fagaceae",17
3,"pioneer","Callicarpa","genus","NA","Callicarpa","Lamiaceae",17
3,"pioneer","Teijsmanniodendron","genus","NA","Teijsmanniodendron","Lamiaceae",20
3,"pioneer","Teijsmanniodendron bogoriense","species","bogoriense","Teijsmanniodendron","Lamiaceae",20
3,"pioneer","Teijsmanniodendron simplicifolium","species","simplicifolium","Teijsmanniodendron","Lamiaceae",19
3,"pioneer","Actinodaphne sesquipedalis","species","sesquipedalis","Actinodaphne","Lauraceae",18
3,"pioneer","Beilschmiedia","genus","NA","Beilschmiedia","Lauraceae",17
3,"pioneer","Beilschmiedia lucidula","species","lucidula","Beilschmiedia","Lauraceae",17
3,"pioneer","Beilschmiedia micrantha","species","micrantha","Beilschmiedia","Lauraceae",17
3,"pioneer","Cinnamomum","genus","NA","Cinnamomum","Lauraceae",17
3,"pioneer","Cinnamomum javanicum","species","javanicum","Cinnamomum","Lauraceae",17
3,"pioneer","Litsea ficoidea","species","ficoidea","Litsea","Lauraceae",20
3,"pioneer","Pterospermum","genus","NA","Pterospermum","Malvaceae",17
3,"pioneer","Pterygota alata","species","alata","Pterygota","Malvaceae",17
3,"pioneer","Scaphium","genus","NA","Scaphium","Malvaceae",19
3,"pioneer","Scaphium macropodum","species","macropodum","Scaphium","Malvaceae",19
3,"pioneer","Chisocheton","genus","NA","Chisocheton","Meliaceae",20
3,"pioneer","Chisocheton ceramicus","species","ceramicus","Chisocheton","Meliaceae",20
3,"pioneer","Reinwardtiodendron humile","species","humile","Reinwardtiodendron","Meliaceae",18
3,"pioneer","Adinandra","genus","NA","Adinandra","Pentaphylacaceae",19
3,"pioneer","Trigonopleura malayana","species","malayana","Trigonopleura","Peraceae",18
3,"pioneer","Glochidion rubrum","species","rubrum","Glochidion","Phyllanthaceae",17
3,"pioneer","Ardisia","genus","NA","Ardisia","Primulaceae",18
3,"pioneer","Ardisia purpurea","species","purpurea","Ardisia","Primulaceae",18
3,"pioneer","Drypetes longifolia","species","longifolia","Drypetes","Putranjivaceae",18
3,"pioneer","Drypetes macrostigma","species","macrostigma","Drypetes","Putranjivaceae",17
3,"pioneer","Ziziphus","genus","NA","Ziziphus","Rhamnaceae",18
3,"pioneer","Melicope","genus","NA","Melicope","Rutaceae",18
3,"pioneer","Paranephelium","genus","NA","Paranephelium","Sapindaceae",18
4,"understory","Hydnocarpus","genus","NA","Hydnocarpus","Achariaceae",12
4,"understory","Hydnocarpus anomalus","species","anomalus","Hydnocarpus","Achariaceae",11
4,"understory","Hydnocarpus polypetalus","species","polypetalus","Hydnocarpus","Achariaceae",12
4,"understory","Pangium edule","species","edule","Pangium","Achariaceae",8
4,"understory","Ryparosa","genus","NA","Ryparosa","Achariaceae",7
4,"understory","Trichadenia philippinensis","species","philippinensis","Trichadenia","Achariaceae",11
4,"understory","Saurauia","genus","NA","Saurauia","Actinidiaceae",3
4,"understory","Gluta macrocarpa","species","macrocarpa","Gluta","Anacardiaceae",12
4,"understory","Gluta speciosa","species","speciosa","Gluta","Anacardiaceae",10
4,"understory","Koordersiodendron pinnatum","species","pinnatum","Koordersiodendron","Anacardiaceae",10
4,"understory","Mangifera decandra","species","decandra","Mangifera","Anacardiaceae",12
4,"understory","Melanochyla fulvinervis","species","fulvinervis","Melanochyla","Anacardiaceae",15
4,"understory","Parishia","genus","NA","Parishia","Anacardiaceae",10
4,"understory","Semecarpus","genus","NA","Semecarpus","Anacardiaceae",11
4,"understory","Semecarpus bunburyanus","species","bunburyanus","Semecarpus","Anacardiaceae",11
4,"understory","Semecarpus heterophyllus","species","heterophyllus","Semecarpus","Anacardiaceae",4
4,"understory","Semecarpus nigroviridis","species","nigroviridis","Semecarpus","Anacardiaceae",11
4,"understory","Swintonia","genus","NA","Swintonia","Anacardiaceae",11
4,"understory","Anisophyllea corneri","species","corneri","Anisophyllea","Anisophylleaceae",9
4,"understory","Alphonsea javanica","species","javanica","Alphonsea","Annonaceae",9
4,"understory","Friesodielsia","genus","NA","Friesodielsia","Annonaceae",10
4,"understory","Goniothalamus","genus","NA","Goniothalamus","Annonaceae",13
4,"understory","Goniothalamus malayanus","species","malayanus","Goniothalamus","Annonaceae",8
4,"understory","Huberantha rumphii","species","rumphii","Huberantha","Annonaceae",14
4,"understory","Maasia glauca","species","glauca","Maasia","Annonaceae",13
4,"understory","Marsypopetalum pallidum","species","pallidum","Marsypopetalum","Annonaceae",13
4,"understory","Monoon grandiflorum","species","grandiflorum","Monoon","Annonaceae",10
4,"understory","Neo-uvaria acuminatissima","species","acuminatissima","Neo-uvaria","Annonaceae",12
4,"understory","Orophea","genus","NA","Orophea","Annonaceae",9
4,"understory","Orophea myriantha","species","myriantha","Orophea","Annonaceae",9
4,"understory","Phaeanthus splendens","species","splendens","Phaeanthus","Annonaceae",9
4,"understory","Polyalthia","genus","NA","Polyalthia","Annonaceae",16
4,"understory","Polyalthia cauliflora","species","cauliflora","Polyalthia","Annonaceae",11
4,"understory","Popowia hirta","species","hirta","Popowia","Annonaceae",9
4,"understory","Pseuduvaria reticulata","species","reticulata","Pseuduvaria","Annonaceae",8
4,"understory","Sageraea","genus","NA","Sageraea","Annonaceae",10
4,"understory","Sageraea lanceolata","species","lanceolata","Sageraea","Annonaceae",10
4,"understory","Stelechocarpus cauliflorus","species","cauliflorus","Stelechocarpus","Annonaceae",12
4,"understory","Strobocalyx arborea","species","arborea","Strobocalyx","Asteraceae",15
4,"understory","Canarium","genus","NA","Canarium","Burseraceae",15
4,"understory","Canarium denticulatum","species","denticulatum","Canarium","Burseraceae",12
4,"understory","Canarium latistipulatum","species","latistipulatum","Canarium","Burseraceae",14
4,"understory","Canarium odontophyllum","species","odontophyllum","Canarium","Burseraceae",8
4,"understory","Canarium pilosum","species","pilosum","Canarium","Burseraceae",15
4,"understory","Dacryodes laxa","species","laxa","Dacryodes","Burseraceae",12
4,"understory","Dacryodes rubiginosa","species","rubiginosa","Dacryodes","Burseraceae",13
4,"understory","Dacryodes rugosa","species","rugosa","Dacryodes","Burseraceae",15
4,"understory","Santiria grandiflora","species","grandiflora","Santiria","Burseraceae",14
4,"understory","Calophyllum","genus","NA","Calophyllum","Calophyllaceae",14
4,"understory","Calophyllum soulattri","species","soulattri","Calophyllum","Calophyllaceae",14
4,"understory","Kayea","genus","NA","Kayea","Calophyllaceae",9
4,"understory","Gironniera nervosa","species","nervosa","Gironniera","Cannabaceae",14
4,"understory","Gironniera subaequalis","species","subaequalis","Gironniera","Cannabaceae",9
4,"understory","Kokoona","genus","NA","Kokoona","Celastraceae",8
4,"understory","Lophopetalum beccarianum","species","beccarianum","Lophopetalum","Celastraceae",14
4,"understory","Atuna","genus","NA","Atuna","Chrysobalanaceae",12
4,"understory","Atuna excelsa subsp. racemosa","species","excelsa subsp. racemosa","Atuna","Chrysobalanaceae",12
4,"understory","Maranthes corymbosa","species","corymbosa","Maranthes","Chrysobalanaceae",11
4,"understory","Garcinia","genus","NA","Garcinia","Clusiaceae",10
4,"understory","Garcinia parvifolia","species","parvifolia","Garcinia","Clusiaceae",7
4,"understory","Terminalia subspathulata","species","subspathulata","Terminalia","Combretaceae",9
4,"understory","Crypteronia","genus","NA","Crypteronia","Crypteroniaceae",16
4,"understory","Crypteronia griffithii","species","griffithii","Crypteronia","Crypteroniaceae",11
4,"understory","Dillenia excelsa","species","excelsa","Dillenia","Dilleniaceae",15
4,"understory","Anisoptera","genus","NA","Anisoptera","Dipterocarpaceae",9
4,"understory","Anisoptera costata","species","costata","Anisoptera","Dipterocarpaceae",9
4,"understory","Dipterocarpus cf. caudiferus","species","cf. caudiferus","Dipterocarpus","Dipterocarpaceae",12
4,"understory","Dipterocarpus confertus","species","confertus","Dipterocarpus","Dipterocarpaceae",8
4,"understory","Dipterocarpus conformis","species","conformis","Dipterocarpus","Dipterocarpaceae",7
4,"understory","Hopea sangal","species","sangal","Hopea","Dipterocarpaceae",13
4,"understory","Vatica rassak","species","rassak","Vatica","Dipterocarpaceae",12
4,"understory","Diospyros curranii","species","curranii","Diospyros","Ebenaceae",9
4,"understory","Diospyros foxworthyi","species","foxworthyi","Diospyros","Ebenaceae",14
4,"understory","Diospyros sumatrana","species","sumatrana","Diospyros","Ebenaceae",12
4,"understory","Diospyros toposia","species","toposia","Diospyros","Ebenaceae",15
4,"understory","Elaeocarpus","genus","NA","Elaeocarpus","Elaeocarpaceae",15
4,"understory","Elaeocarpus stipularis","species","stipularis","Elaeocarpus","Elaeocarpaceae",15
4,"understory","Sloanea javanica","species","javanica","Sloanea","Elaeocarpaceae",7
4,"understory","Blumeodendron kurzii","species","kurzii","Blumeodendron","Euphorbiaceae",8
4,"understory","Claoxylon longifolium","species","longifolium","Claoxylon","Euphorbiaceae",9
4,"understory","Croton griffithii","species","griffithii","Croton","Euphorbiaceae",9
4,"understory","Croton oblongus","species","oblongus","Croton","Euphorbiaceae",10
4,"understory","Hancea eucausta","species","eucausta","Hancea","Euphorbiaceae",12
4,"understory","Hancea penangensis","species","penangensis","Hancea","Euphorbiaceae",10
4,"understory","Hancea stipularis","species","stipularis","Hancea","Euphorbiaceae",7
4,"understory","Koilodepas","genus","NA","Koilodepas","Euphorbiaceae",16
4,"understory","Koilodepas longifolium","species","longifolium","Koilodepas","Euphorbiaceae",9
4,"understory","Mallotus","genus","NA","Mallotus","Euphorbiaceae",16
4,"understory","Mallotus korthalsii","species","korthalsii","Mallotus","Euphorbiaceae",8
4,"understory","Mallotus lackeyi","species","lackeyi","Mallotus","Euphorbiaceae",14
4,"understory","Mallotus leucodermis","species","leucodermis","Mallotus","Euphorbiaceae",8
4,"understory","Mallotus macrostachyus","species","macrostachyus","Mallotus","Euphorbiaceae",6
4,"understory","Mallotus muticus","species","muticus","Mallotus","Euphorbiaceae",14
4,"understory","Mallotus paniculatus","species","paniculatus","Mallotus","Euphorbiaceae",11
4,"understory","Mallotus wrayi","species","wrayi","Mallotus","Euphorbiaceae",14
4,"understory","Neoscortechinia forbesii","species","forbesii","Neoscortechinia","Euphorbiaceae",11
4,"understory","Neoscortechinia philippinensis","species","philippinensis","Neoscortechinia","Euphorbiaceae",14
4,"understory","Paracroton pendulus","species","pendulus","Paracroton","Euphorbiaceae",9
4,"understory","Ptychopyxis bacciformis","species","bacciformis","Ptychopyxis","Euphorbiaceae",7
4,"understory","Sumbaviopsis albicans","species","albicans","Sumbaviopsis","Euphorbiaceae",7
4,"understory","Tritaxis muricata","species","muricata","Tritaxis","Euphorbiaceae",4
4,"understory","Archidendron contortum","species","contortum","Archidendron","Fabaceae",10
4,"understory","Archidendron ellipticum","species","ellipticum","Archidendron","Fabaceae",8
4,"understory","Koompassia excelsa","species","excelsa","Koompassia","Fabaceae",11
4,"understory","Saraca declinata","species","declinata","Saraca","Fabaceae",16
4,"understory","Lithocarpus bancanus","species","bancanus","Lithocarpus","Fagaceae",14
4,"understory","Lithocarpus conocarpus","species","conocarpus","Lithocarpus","Fagaceae",12
4,"understory","Lithocarpus gracilis","species","gracilis","Lithocarpus","Fagaceae",7
4,"understory","Lithocarpus leptogyne","species","leptogyne","Lithocarpus","Fagaceae",14
4,"understory","Lithocarpus nieuwenhuisii","species","nieuwenhuisii","Lithocarpus","Fagaceae",9
4,"understory","Cratoxylum","genus","NA","Cratoxylum","Hypericaceae",14
4,"understory","Cratoxylum arborescens","species","arborescens","Cratoxylum","Hypericaceae",14
4,"understory","Cratoxylum cochinchinense","species","cochinchinense","Cratoxylum","Hypericaceae",12
4,"understory","Cratoxylum sumatranum","species","sumatranum","Cratoxylum","Hypericaceae",11
4,"understory","Callicarpa glabrifolia","species","glabrifolia","Callicarpa","Lamiaceae",11
4,"understory","Callicarpa pentandra","species","pentandra","Callicarpa","Lamiaceae",8
4,"understory","Teijsmanniodendron holophyllum","species","holophyllum","Teijsmanniodendron","Lamiaceae",9
4,"understory","Teijsmanniodendron simplicioides","species","simplicioides","Teijsmanniodendron","Lamiaceae",3
4,"understory","Vitex","genus","NA","Vitex","Lamiaceae",15
4,"understory","Vitex pinnata","species","pinnata","Vitex","Lamiaceae",7
4,"understory","Alseodaphne insignis","species","insignis","Alseodaphne","Lauraceae",8
4,"understory","Beilschmiedia glabra","species","glabra","Beilschmiedia","Lauraceae",8
4,"understory","Caryodaphnopsis tonkinensis","species","tonkinensis","Caryodaphnopsis","Lauraceae",10
4,"understory","Cinnamomum racemosum","species","racemosum","Cinnamomum","Lauraceae",10
4,"understory","Cryptocarya cagayanensis","species","cagayanensis","Cryptocarya","Lauraceae",14
4,"understory","Cryptocarya diversifolia","species","diversifolia","Cryptocarya","Lauraceae",10
4,"understory","Cryptocarya ferrea","species","ferrea","Cryptocarya","Lauraceae",5
4,"understory","Cryptocarya ferrea var. ferrea","species","ferrea var. ferrea","Cryptocarya","Lauraceae",12
4,"understory","Dehaasia","genus","NA","Dehaasia","Lauraceae",13
4,"understory","Dehaasia brachybotrys","species","brachybotrys","Dehaasia","Lauraceae",9
4,"understory","Dehaasia caesia","species","caesia","Dehaasia","Lauraceae",12
4,"understory","Dehaasia titanophylla","species","titanophylla","Dehaasia","Lauraceae",13
4,"understory","Endiandra kingiana","species","kingiana","Endiandra","Lauraceae",15
4,"understory","Endiandra macrophylla","species","macrophylla","Endiandra","Lauraceae",5
4,"understory","Lindera lucida","species","lucida","Lindera","Lauraceae",12
4,"understory","Litsea accedens","species","accedens","Litsea","Lauraceae",13
4,"understory","Litsea castanea","species","castanea","Litsea","Lauraceae",14
4,"understory","Litsea erectinervia","species","erectinervia","Litsea","Lauraceae",11
4,"understory","Litsea grandis","species","grandis","Litsea","Lauraceae",15
4,"understory","Litsea umbellata","species","umbellata","Litsea","Lauraceae",9
4,"understory","Neolitsea","genus","NA","Neolitsea","Lauraceae",7
4,"understory","Nothaphoebe umbelliflora","species","umbelliflora","Nothaphoebe","Lauraceae",9
4,"understory","Barringtonia lanceolata","species","lanceolata","Barringtonia","Lecythidaceae",11
4,"understory","Planchonia","genus","NA","Planchonia","Lecythidaceae",14
4,"understory","Planchonia brevistipitata","species","brevistipitata","Planchonia","Lecythidaceae",14
4,"understory","Magnolia","genus","NA","Magnolia","Magnoliaceae",13
4,"understory","Magnolia liliifera","species","liliifera","Magnolia","Magnoliaceae",13
